Is an albatross a bird?|Yes
Is an albatross a seabird?|Yes
Is an albatross an animal?|Yes
Is an albatross a eukaryotic_organism?|Yes
Is an albatross a pelagic_bird?|Yes
Is an albatross an albatross?|Yes
Is an albatross made of cells molecules and atoms?|Yes
Is an albatross a living creature?|Yes
Is an albatross an organism?|Yes
Is an albatross capable of eating?|Yes
Is an albatross capable of live?|Yes
Does an albatross have a face?|Yes
Is an albatross a living organism?|Yes
Does an albatross have the property of being alive?|Yes
Is an albatross capable of move itself about?|Yes
Does an albatross have a head?|Yes
Is an albatross capable of fight for life?|Yes
Is an albatross capable of note food?|Yes
Is an albatross a bacterium?|No
Is an albatross a virus?|No
Is an albatross a fungus?|No
Is an albatross a plant?|No
Is an albatross a vertebrate?|Yes
Does an albatross have a beak?|Yes
Is an albatross a terrestrial organism?|Yes
Is an albatross a air breathing vertebrate?|Yes
Does an albatross have a wing?|Yes
Does an albatross have a wings?|Yes
Does an albatross have a two legs?|Yes
Is an albatross a biped?|Yes
Is an albatross a warm blooded animal?|Yes
Does an albatross have a bird's foot?|Yes
Does an albatross have a two wings?|Yes
Does an albatross have a feathers?|Yes
Is an albatross a feathered animal?|Yes
Is an albatross capable of spread wings?|Yes
Does an albatross have a feather?|Yes
Is an albatross capable of injur it's wing if falls?|Yes
Does an albatross have a talon?|Yes
Is an albatross capable of fly?|Yes
Is an albatross capable of chirp?|Yes
Is an albatross a oviparous animal?|Yes
Does an albatross have the property of being rising early?|Yes
Is an albatross capable of sing to mate?|Yes
Does an albatross have a air sac?|Yes
Is an albatross capable of travel across world?|Yes
Is an albatross capable of grow to larger size?|Yes
Is an albatross capable of sing to other birds?|Yes
Is an albatross a fish?|No
Is an albatross a reptile?|No
Is an albatross a mammal?|No
Is an albatross a living thing?|Yes
Is an albatross an invertebrate?|No
Does an albatross have a cell?|Yes
Is an albatross made of cells?|Yes
Does an albatross have a body part?|Yes
Is an albatross a mineral?|No
Is an albatross an artifact?|No
Is an albatross a sound?|No
Is an albatross a religion?|No
Is an albatross a science?|No
Is an albatross a government?|No
Is an albatross an art?|No
Is an albatross a company?|No
Is an albatross a hair?|No
Is an albatross an action?|No
Is an albatross a sport?|No
Is an albatross a disease?|No
Is an albatross a fire?|No
Is an albatross a liquid?|No
Is an albatross a molecule?|No
Is an albatross a location?|No
Is an albatross capable of die no more than once?|Yes
Is an albatross a tree?|No
Is an albatross a food?|No
Is an albatross a computer?|No
Is an albatross a car?|No
Is an albatross a protein?|No
Is an albatross a machine?|No
Is an albatross a school?|No
Is an albatross a dog?|No
Is an albatross a shop?|No
Is an albatross a country?|No
Is an albatross a plastic?|No
Is an albatross a planet?|No
Is an albatross an ocean?|No
Is an albatross a body of water?|No
Is an albatross a restaurant?|No
Is an albatross an insect?|No
Is an albatross a lizard?|No
Is an albatross a bicycle?|No
Is an albatross a bridge?|No
Is an albatross a house?|No
Is an albatross a publication?|No
Is an albatross a president?|No
Is an albatross a leader?|No
Is an albatross a turtle?|No
Is an albatross a europe?|No
Is an albatross a river?|No
Is an albatross a vehicle?|No
Is an albatross a deer?|No
Is an albatross a road?|No
Is an albatross a sugar?|No
Is an albatross a cat?|No
Is an albatross a politician?|No
Is an albatross a grass?|No
Is an albatross a town?|No
Is an albatross an africa?|No
Is an albatross a doctor?|No
Is an albatross a fruit?|No
Is an albatross a horse?|No
Is an albatross an asia?|No
Is an albatross a forest?|No
Is an albatross a wheel?|No
Is an albatross an ant?|No
Is an albatross a continent?|No
Is an albatross an airplane?|No
Is an albatross a clothes?|No
Is an albatross a wine?|No
Is an albatross a meal?|No
Is an albatross a city?|No
Is an albatross a flower?|No
Is an albatross a cake?|No
Is an albatross a cheese?|No
Is an albatross a kitchen?|No
Is an albatross a lake?|No
Is an albatross a soup?|No
Is an albatross a metal?|No
Is an albatross a movie?|No
Is an albatross a building?|No
Is an albatross a snake?|No
Is an albatross a wasp?|No
Is an albatross a door?|No
Is an albatross a salad?|No
Is an albatross a soda?|No
Is an albatross a vegetable?|No
Is an albatross a human being?|No
Is an albatross a room?|No
Is an albatross a bathroom?|No
Is an albatross a boat?|No
Is an albatross a jewelry?|No
Is an albatross a candy?|No
Is an albatross a kitchen utensil?|No
Is an albatross a carbohydrate?|No
Is an albatross a toy?|No
Is an albatross a drug?|No
Is an albatross a student?|No
Is an albatross an acid?|No
Is an albatross an expert?|No
Is an albatross a structure?|No
Is an albatross a water?|No
Is an albatross a palm tree?|No
Is an albatross a crustacean?|No
Is an albatross a jellyfish?|No
Is an albatross a rodent?|No
Is an albatross an herb?|No
Is a computer a electronic_appliance?|Yes
Is a computer a electronic_device?|Yes
Is a computer a electronic_tool?|Yes
Is a computer a fancy_caculator?|Yes
Is a computer a form_of_recording_device?|Yes
Is a computer a high_speed_electronic_machine?|Yes
Is a computer a machine?|Yes
Is a computer a multimedia_device?|Yes
Is a computer a office_equipment?|Yes
Is a computer a one_type_of_machine?|Yes
Is a computer a useful?|Yes
Is a computer a computer?|Yes
Does a computer have a computer circuit?|Yes
Is a computer capable of power down?|Yes
Does a computer have the property of being more complex than pencil?|Yes
Is a computer a electronic device?|Yes
Is a computer a computer hardware?|Yes
Does a computer have a cpu?|Yes
Is a computer a computational system?|Yes
Is a computer capable of list numbers?|Yes
Is a computer a one type of machine?|Yes
Is a computer capable of increase number?|Yes
Does a computer have a one or many processors?|Yes
Is a computer capable of sort information?|Yes
Does a computer have a central processing unit?|Yes
Does a computer have a hardware?|Yes
Is a computer a computing thing?|Yes
Is a computer capable of count symbols?|Yes
Does a computer have a motherboard?|Yes
Does a computer have a memory?|Yes
Does a computer have a processor?|Yes
Is a computer capable of count sentences?|Yes
Is a computer capable of sort list of words?|Yes
Does a computer have a memory chip?|Yes
Is a computer capable of process information?|Yes
Is a computer capable of arithmetic?|Yes
Is a computer capable of run programs?|Yes
Is a computer a electronic appliance?|Yes
Is a computer a electronic tool?|Yes
Is a computer capable of crash?|Yes
Is a computer capable of receive data?|Yes
Is a computer capable of list files in directory?|Yes
Is a computer capable of count?|Yes
Is a computer capable of calculate?|Yes
Is a computer capable of save files on disk?|Yes
Does a computer have a ram?|Yes
Is a computer capable of answer easy arithmetic questions?|Yes
Is a computer made of hardware?|Yes
Is a computer a high speed electronic machine?|Yes
Is a computer capable of adding numbers?|Yes
Does a computer have a disk cache?|Yes
Is a computer capable of start computing?|Yes
Is a computer a complex tool?|Yes
Does a computer have a monitor?|Yes
Does a computer have a chip?|Yes
Is a computer capable of mine data?|Yes
Does a computer have a display?|Yes
Does a computer have a moniter?|Yes
Does a computer have a software?|Yes
Is a computer capable of mail electronic messasge?|Yes
Is a computer capable of surf internet?|Yes
Is a computer a tool?|Yes
Does a computer have the property of being expensive?|Yes
Is a computer made of silicon?|Yes
Does a computer have a keyboard?|Yes
Does a computer have a central processor?|Yes
Is a computer made of microchips?|Yes
Does a computer have a disk drive?|Yes
Does a computer have a computer accessory?|Yes
Is a computer capable of control model?|Yes
Does a computer have a mouse?|Yes
Is a computer capable of cast shadow?|Yes
Is a computer a vehicle?|No
Is a computer a man made object?|Yes
Does a computer have the property of being mechanical?|Yes
Is a computer a man man device?|Yes
Is a computer a mechanical device?|Yes
Is a computer capable of fail working?|Yes
Is a computer an apparatus?|Yes
Is a computer capable of do task?|Yes
Is a computer an artifact?|Yes
Is a computer a publication?|No
Is a computer a structure?|No
Is a computer a wheel?|No
Is a computer a clothes?|No
Is a computer a movie?|No
Is a computer a jewelry?|No
Is a computer a toy?|No
Is a computer a kitchen utensil?|No
Is a computer a drug?|No
Is a computer capable of require electricity?|Yes
Is a computer a sound?|No
Is a computer a religion?|No
Is a computer a science?|No
Is a computer a government?|No
Is a computer an art?|No
Is a computer a company?|No
Is a computer a hair?|No
Is a computer an action?|No
Is a computer a sport?|No
Is a computer a disease?|No
Is a computer a fire?|No
Is a computer a food?|No
Is a computer a liquid?|No
Is a computer an organism?|No
Is a computer a molecule?|No
Is a computer a location?|No
Is a computer a mineral?|No
Is a computer a tree?|No
Is a computer a car?|No
Is a computer a protein?|No
Is a computer a school?|No
Is a computer a dog?|No
Is a computer a shop?|No
Is a computer a country?|No
Is a computer a plastic?|No
Is a computer a fish?|No
Is a computer a planet?|No
Is a computer an ocean?|No
Is a computer a body of water?|No
Is a computer a restaurant?|No
Is a computer an insect?|No
Is a computer a lizard?|No
Is a computer an animal?|No
Is a computer a bicycle?|No
Is a computer a bridge?|No
Is a computer a house?|No
Is a computer a president?|No
Is a computer a leader?|No
Is a computer a turtle?|No
Is a computer a europe?|No
Is a computer a vertebrate?|No
Is a computer a river?|No
Is a computer a bird?|No
Is a computer a deer?|No
Is a computer a road?|No
Is a computer a sugar?|No
Is a computer a cat?|No
Is a computer a mammal?|No
Is a computer a politician?|No
Is a computer a grass?|No
Is a computer a plant?|No
Is a computer a town?|No
Is a computer an africa?|No
Is a computer a doctor?|No
Is a computer a fruit?|No
Is a computer a horse?|No
Is a computer an asia?|No
Is a computer a forest?|No
Is a computer an ant?|No
Is a computer a continent?|No
Is a computer an airplane?|No
Is a computer a wine?|No
Is a computer a meal?|No
Is a computer a city?|No
Is a computer a flower?|No
Is a computer a cake?|No
Is a computer a cheese?|No
Is a computer a kitchen?|No
Is a computer a fungus?|No
Is a computer a lake?|No
Is a computer a soup?|No
Is a computer a metal?|No
Is a computer a building?|No
Is a computer a snake?|No
Is a computer a wasp?|No
Is a computer a door?|No
Is a computer a salad?|No
Is a computer a soda?|No
Is a computer a vegetable?|No
Is a computer a human being?|No
Is a computer a room?|No
Is a computer a bathroom?|No
Is a computer a boat?|No
Is a computer a candy?|No
Is a computer a carbohydrate?|No
Is a computer a virus?|No
Is a computer a student?|No
Is a computer an acid?|No
Is a computer an expert?|No
Is a computer a water?|No
Is a computer a reptile?|No
Is a computer a bacterium?|No
Is a computer a palm tree?|No
Is a computer a crustacean?|No
Is a computer a jellyfish?|No
Is a computer an invertebrate?|No
Is a computer a rodent?|No
Is a computer an herb?|No
Is an ant an insect?|Yes
Is an ant a one_type_of_insect?|Yes
Is an ant a small_insect?|Yes
Is an ant a smaller_than_cat?|Yes
Is an ant a hymenoptera?|Yes
Is an ant a vermin?|Yes
Is an ant an ant?|Yes
Does an ant have a clypeus?|Yes
Does an ant have a air sac?|Yes
Is an ant an arthropod?|Yes
Does an ant have a abdomen?|Yes
Is an ant a living creature?|Yes
Is an ant a creature?|Yes
Does an ant have a 6 legs?|Yes
Does an ant have a wing?|Yes
Is an ant an animal?|Yes
Is an ant an invertebrate?|Yes
Is an ant a crustacean?|No
Is an ant a jellyfish?|No
Is an ant a hymenopterous insect?|Yes
Is an ant a one type of insect?|Yes
Is an ant capable of build colony?|Yes
Is an ant capable of lift several times own weight?|Yes
Is an ant a small insect?|Yes
Is an ant a smaller than cat?|Yes
Is an ant a wasp?|No
Is an ant made of cells molecules and atoms?|Yes
Is an ant an organism?|Yes
Is an ant capable of eating?|Yes
Is an ant capable of live?|Yes
Does an ant have a face?|Yes
Is an ant a living organism?|Yes
Does an ant have the property of being alive?|Yes
Is an ant capable of move itself about?|Yes
Does an ant have a head?|Yes
Is an ant capable of fight for life?|Yes
Is an ant capable of note food?|Yes
Is an ant a bacterium?|No
Is an ant a virus?|No
Is an ant a fungus?|No
Is an ant a plant?|No
Is an ant capable of die no more than once?|Yes
Is an ant a wild animal?|Yes
Is an ant a cold blooded animal?|Yes
Is an ant a vertebrate?|No
Is an ant a living thing?|Yes
Does an ant have a cell?|Yes
Is an ant made of cells?|Yes
Does an ant have a body part?|Yes
Is an ant a mineral?|No
Is an ant an artifact?|No
Is an ant a sound?|No
Is an ant a religion?|No
Is an ant a science?|No
Is an ant a government?|No
Is an ant an art?|No
Is an ant a company?|No
Is an ant a hair?|No
Is an ant an action?|No
Is an ant a sport?|No
Is an ant a disease?|No
Is an ant a fire?|No
Is an ant a liquid?|No
Is an ant a molecule?|No
Is an ant a location?|No
Is an ant a tree?|No
Is an ant a food?|No
Is an ant a computer?|No
Is an ant a car?|No
Is an ant a protein?|No
Is an ant a machine?|No
Is an ant a school?|No
Is an ant a dog?|No
Is an ant a shop?|No
Is an ant a country?|No
Is an ant a plastic?|No
Is an ant a fish?|No
Is an ant a planet?|No
Is an ant an ocean?|No
Is an ant a body of water?|No
Is an ant a restaurant?|No
Is an ant a lizard?|No
Is an ant a bicycle?|No
Is an ant a bridge?|No
Is an ant a house?|No
Is an ant a publication?|No
Is an ant a president?|No
Is an ant a leader?|No
Is an ant a turtle?|No
Is an ant a europe?|No
Is an ant a river?|No
Is an ant a bird?|No
Is an ant a vehicle?|No
Is an ant a deer?|No
Is an ant a road?|No
Is an ant a sugar?|No
Is an ant a cat?|No
Is an ant a mammal?|No
Is an ant a politician?|No
Is an ant a grass?|No
Is an ant a town?|No
Is an ant an africa?|No
Is an ant a doctor?|No
Is an ant a fruit?|No
Is an ant a horse?|No
Is an ant an asia?|No
Is an ant a forest?|No
Is an ant a wheel?|No
Is an ant a continent?|No
Is an ant an airplane?|No
Is an ant a clothes?|No
Is an ant a wine?|No
Is an ant a meal?|No
Is an ant a city?|No
Is an ant a flower?|No
Is an ant a cake?|No
Is an ant a cheese?|No
Is an ant a kitchen?|No
Is an ant a lake?|No
Is an ant a soup?|No
Is an ant a metal?|No
Is an ant a movie?|No
Is an ant a building?|No
Is an ant a snake?|No
Is an ant a door?|No
Is an ant a salad?|No
Is an ant a soda?|No
Is an ant a vegetable?|No
Is an ant a human being?|No
Is an ant a room?|No
Is an ant a bathroom?|No
Is an ant a boat?|No
Is an ant a jewelry?|No
Is an ant a candy?|No
Is an ant a kitchen utensil?|No
Is an ant a carbohydrate?|No
Is an ant a toy?|No
Is an ant a drug?|No
Is an ant a student?|No
Is an ant an acid?|No
Is an ant an expert?|No
Is an ant a structure?|No
Is an ant a water?|No
Is an ant a reptile?|No
Is an ant a palm tree?|No
Is an ant a rodent?|No
Is an ant an herb?|No
Is an adder a viper?|Yes
Is an adder a snake?|Yes
Is an adder a reptile?|Yes
Is an adder a cat?|No
Is an adder an adder?|Yes
Is an adder a squamata?|Yes
Is an adder a vertebrate?|Yes
Is an adder a one type of animal?|Yes
Is an adder a diapsid?|Yes
Does an adder have a no legs?|Yes
Does an adder have a scales?|Yes
Is an adder capable of sun itself?|Yes
Is an adder a squamate?|Yes
Is an adder capable of surprise person?|Yes
Is an adder capable of slither down street?|Yes
Is an adder capable of eat egg?|Yes
Is an adder a turtle?|No
Is an adder a lizard?|No
Is an adder a mammal?|No
Is an adder a fish?|No
Is an adder a bird?|No
Is an adder an animal?|Yes
