correction_fn,accurate,TP,TN,FN,FP,contradictory_pairs,consistent_acc_pairs,relevant_pairs,total_questions,num_batches,flips
C_0,654,57,597,47,299,648,2090,2145,1000,100,0
MaxSAT,841,56,785,48,111,89,3181,1205,1000,100,205
C_1,884,56,828,48,68,51,3528,892,1000,100,266
C_2,730,58,672,46,224,341,2446,1846,1000,100,80
C_3,851,56,795,48,101,89,3283,1095,1000,100,207
C_4,866,56,810,48,86,72,3394,998,1000,100,224
C_5,866,56,810,48,86,76,3394,1006,1000,100,226
C_6,760,48,712,56,184,258,2657,1616,1000,100,186
C_7,737,49,688,55,208,312,2510,1745,1000,100,107
C_8,559,52,507,52,389,830,1419,2791,1000,100,695
C_9,833,57,776,47,120,105,3135,1249,1000,100,266
C_10,804,56,748,48,148,169,2934,1414,1000,100,258
C_11,724,57,667,47,229,390,2442,1847,1000,100,164
C_12,818,44,774,60,122,206,3104,1191,1000,100,192